name,company,city,salary,exp,edu,details
C++,乐易,深圳,10-20K,1-3年,本科,"【岗位职责】
1、负责后台架构设计和优化；
2、负责后台版本功能开发；
3、作为接口人，负责与产品、客户端、测试沟通协调。
【任职要求】
1、985/211学校，计算机相关专业本科及以上学历；
2、1年以上Unix/Linux下Server开发经验；
3、精通C/C++开发语言；
4、精通TCP/IP协议，进程间通讯编程，熟悉Unix/Linux下常用架构设计方法；
5、熟悉Unix/Linux操作系统原理、常用工具；
6、熟悉Perl/python，shell等脚本语言优先；
7、具备良好的分析解决问题能力，能独立承担工作任务及把控任务进度；
8、责任心强，良好的沟通和团队协作能力，主动好学有进取心。
??关于乐易??
★极客精神     专注海外精品手机游戏和应用软件的研发、发行和运营，致力于打造世界级一流的产品；
★技术深厚     创始人、CTO（原腾讯部门总监），研发经理及技术骨干均为腾讯技术背景； 
★飞速发展     成立首年盈利，4年每年100%营收增长，已获A轮融资，估值10亿人民币；
★导师制        一对一的导师，助你快速成长。
 
??关于福利??
★一年两次调薪★            ★绩效奖金高达10个月★    
★六险一金★       ★一年两次旅游★    
★7天年假15天带薪事假30天病假★    ★年度体检★                
★高逼格办公环境★     ★每月团建★    ★无限量零食水果供应★
                            "
C++,来邦科技,深圳,9-18K,1-3年,本科,"岗位职责：
负责公司网络音视频对讲产品开发。
任职要求：
1、计算机软件相关专业毕业
2、具备1年以上C/C++软件开发工作经验
3、有Linux C或MFC开发经验者优先
4、熟悉WebRTC等相关开源项目者优先
5、有SIP/VOIP/音视频编解码相关开发经验者优先
6、做事积极，有耐心，有团队合作精神
公司福利：
1、一周五天工作制，弹性工作时间；
2、入职起缴纳五险一金；
3、法定年休假、假日补贴、春节三周有薪假期；
4、每年两次调薪机会；
5、可提供食宿或发放住宿、伙食及交通补贴；
6、年底双薪，另有核心员工股权激励等。
                            "
C++后端架构师,OPPO,深圳,30-60K,3-5年,本科,"中间件是OPPO移动互联网的核心技术团队之一，为应用商店、游戏中心、浏览器、云服务、PUSH等业务提供高可用、可扩展的云端技术平台，线上已支撑过亿的日活用户。
 中间件方向: 网关、缓存、MQ、微服务、kv数据库、调用链跟踪、数据同步等平台研发，对开源框架内核进行深度优化，TB级缓存集群、百万级QPS，打造异地多活的超大规模分布式中间件集群。
岗位职责
1. 参与公司中间件产品的需求分析、技术规划等工作；
2. 负责缓存、NoSQL等中间件产品的设计、开发、落地实施等工作；
3. 负责各类技术难题攻关，为业务提供高性能、高可用的后端技术服务。
职位要求：
1. 大学本科学历，5年以上工作经验；
2. 熟练掌握Linux环境下的C/C++开发，有go/java经验更佳；
3. 熟悉TCP/IP协议，熟练掌握Linux网络编程和多线程编程技术；
4. 熟悉分布式协议（raft等），有带领团队开发大型分布式系统、KV数据库系统的经验；
5. 具备良好逻辑分析能力，沟通能力以及团队合作精神；6. 主动性强，有强烈的求知欲和创新能力，有良好抗压能力
                            "
C++工程师,和而泰,深圳,13-23K,3-5年,本科,"岗位职责
负责推动边缘计算产品的设计、开发、上线，产品化落地；
岗位要求：
熟悉c/c++编程语言
熟悉掌握andriod/linux下的c/c++开发
熟悉Makefile
熟悉linux shell基本操作命令
熟悉使用gdb调试
熟悉基本的数据结构
熟悉多线程和进程间通信
熟悉网络编程
熟悉面向对象
加分：
熟悉java/jni
会shell/lua/js/bat等脚本语言之一更好
                            "
C++后台开发,腾讯,深圳,25-45K,3-5年,本科,"岗位职责：
负责腾讯云面向智慧零售行业的产品与服务的系统研发工作； 
负责腾讯云面向智慧零售行业的技术解决方案的研发落地工作； 
负责腾讯云面向智慧零售行业的系统稳定性保障以及性能调优等工作。
岗位要求
计算机相关专业本科以上学历；3年以上研发类工作经验； 
深刻理解面向对象开发，具有较好的系统分析设计能力、文档撰写能力；
熟悉Linux网络编程、熟悉互联网业务开发，熟悉一种以上数据库，掌握MYSQL开发和优化； 
积极进取、诚实正直、责任心强，有较好的沟通能力； 
具备大型分布式系统后台研发经验者优先； 
具有云服务开发经验者优先。
                            "
c++主管发开,金证股份,深圳,15-20K,3-5年,本科,"1、年龄35岁以下，全日制大学本科及以上学历，计算机软件相关专业； 
2、精通C++语言，精通面向对象系统架构设计，并熟悉一种以上关系数据库； 
3、3年以上开发工作经验，并参与过大型C++项目的设计、开发工作，具备项目管理或开发团队管理经验者优先； 
4、具备良好的沟通力、表达力、团队协作力以及责任心； 
5、熟悉金融或者有参与金融系统开发经验者优先。
                            "
C++,车米云图,深圳,8-16K,3-5年,本科,"嵌入式Linux软件工程师
任职资格：
1. 计算机，通讯，电子相关专业，本科及以上学历
2. 2-5年以上ARM平台嵌入式工作经验，有嵌入式Linux系统开发经验
3. 精通C/C++开发语言，有Linux嵌入式系统应用开发经验
4. 熟悉TCP/IP相关开发，了解rtsp以及http通信协议, 至少2年网络相关开发工作经验
5. 熟悉常见外围接口开发，如CAN、串口、I2C、SPI、网络、LCD等
6. 具备较强的自学能力，有强烈的责任心、钻研精神、学习和团队协作能力;
7. 了解rtp,rtsp,rtmp等流媒体,多媒体应用/视频编解码开发经验尤佳
工作内容：
1. 嵌入式linux系统裁剪
2. linux应用层程序开发
3. 编写开发设计文档；
                            "
c++,绛门科技,深圳,7-8K,1-3年,本科,"1、全日制本科或以上学历；2、1年以上的工作经验；3、熟悉基于linux系统下的C++开发
                            "
C++,深圳市金未来信息...,深圳,18-25K,5-10年,本科,"职位描述：
工作职责：
1、负责chromium浏览器相关定制化改造(前期不涉及到底层及引擎开发)。
2、协助服务端C++程序性能优化及与python模块整合。
职位要求：
1、本科及以上学历，5年以上 标准C/C++ 编程经验；
2、精通TCP/IP协议相关知识，有独立网络通信程序开发经验！
3、有浏览器开发经验优先考虑！
4、具备良好的沟通技巧和团队合作精神；
5、有python语言开发经验者优先。
此职位有同事带队，需要较强的学习能力！
                            "
C++,超群,深圳,30-50K,3-5年,本科,"1、负责架构设计和开发，为亿级用户提供优质顺畅的信息服务和极致体验； 
2、参与设计系统技术方案，核心代码开发和系统调优； 
3、参与制定代码规范、测试规范，建立起开发质量控制方法； 
4、协助团队攻克各种高并发、数据隔离、系统解耦等方面的技术难关； 
5、参与各专项技术调研，新技术引入等前瞻项目；
6、参与机器学习与异构计算系统研发。
岗位要求：
1、本科及以上学历，计算机相关专业； 
2、热爱计算机科学和互联网技术，精通至少一门编程语言，包括但不仅限于：Java、C、C++、PHP、 Python、Go； 
3、掌握扎实的计算机基础知识，深入理解数据结构、算法和操作系统知识；
4、有优秀的逻辑分析能力，能够对业务逻辑进行合理的抽象和拆分；
5、有强烈的求知欲，优秀的学习和沟通能力。
                            "
